DATA_INIZIO,VALORE
25/03/2021,78
25/03/2021,78
25/03/2021,67
25/03/2021,98
25/03/2021,41
25/03/2021,82
25/03/2021,72
25/03/2021,56
25/03/2021,67
25/03/2021,89
25/03/2021,94
25/03/2021,47
25/03/2021,87
25/03/2021,37
25/03/2021,26
25/03/2021,26
25/03/2021,84
25/03/2021,75
25/03/2021,64
