COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,111,09/04/2020 00,10/04/2020 00,15,ug/m3
4000022,111,10/04/2020 00,11/04/2020 00,15,ug/m3
4000022,111,11/04/2020 00,12/04/2020 00,15,ug/m3
4000022,111,12/04/2020 00,13/04/2020 00,10,ug/m3
4000022,111,13/04/2020 00,14/04/2020 00,10,ug/m3
4000022,111,14/04/2020 00,15/04/2020 00,10,ug/m3
4000022,111,15/04/2020 00,16/04/2020 00,9,ug/m3
4000022,111,16/04/2020 00,17/04/2020 00,13,ug/m3
4000022,111,17/04/2020 00,18/04/2020 00,16,ug/m3
4000022,111,18/04/2020 00,19/04/2020 00,9,ug/m3
4000022,111,19/04/2020 00,20/04/2020 00,9,ug/m3
4000022,111,20/04/2020 00,21/04/2020 00,4,ug/m3
4000022,111,21/04/2020 00,22/04/2020 00,5,ug/m3
4000022,111,22/04/2020 00,23/04/2020 00,12,ug/m3
4000022,111,23/04/2020 00,24/04/2020 00,16,ug/m3
4000022,111,24/04/2020 00,25/04/2020 00,14,ug/m3
4000022,111,25/04/2020 00,26/04/2020 00,9,ug/m3
4000022,111,26/04/2020 00,27/04/2020 00,8,ug/m3
4000022,111,27/04/2020 00,28/04/2020 00,8,ug/m3
4000022,111,28/04/2020 00,29/04/2020 00,5,ug/m3
4000022,111,29/04/2020 00,30/04/2020 00,3,ug/m3
4000022,111,30/04/2020 00,01/05/2020 00,3,ug/m3
4000022,111,01/05/2020 00,02/05/2020 00,3,ug/m3
4000022,111,02/05/2020 00,03/05/2020 00,4,ug/m3
4000022,111,03/05/2020 00,04/05/2020 00,9,ug/m3
4000022,111,04/05/2020 00,05/05/2020 00,7,ug/m3
4000022,111,05/05/2020 00,06/05/2020 00,10,ug/m3
4000022,111,06/05/2020 00,07/05/2020 00,12,ug/m3
4000022,111,07/05/2020 00,08/05/2020 00,9,ug/m3
4000022,111,08/05/2020 00,09/05/2020 00,12,ug/m3
4000022,111,09/05/2020 00,10/05/2020 00,10,ug/m3
