COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,5,28/03/2020 00,29/03/2020 00,91,ug/m3
4000022,5,29/03/2020 00,30/03/2020 00,65,ug/m3
4000022,5,30/03/2020 00,31/03/2020 00,58,ug/m3
4000022,5,31/03/2020 00,01/04/2020 00,12,ug/m3
4000022,5,01/04/2020 00,02/04/2020 00,18,ug/m3
4000022,5,02/04/2020 00,03/04/2020 00,20,ug/m3
4000022,5,03/04/2020 00,04/04/2020 00,26,ug/m3
4000022,5,04/04/2020 00,05/04/2020 00,28,ug/m3
4000022,5,05/04/2020 00,06/04/2020 00,24,ug/m3
4000022,5,06/04/2020 00,07/04/2020 00,31,ug/m3
4000022,5,07/04/2020 00,08/04/2020 00,29,ug/m3
4000022,5,08/04/2020 00,09/04/2020 00,20,ug/m3
4000022,5,09/04/2020 00,10/04/2020 00,19,ug/m3
4000022,5,10/04/2020 00,11/04/2020 00,20,ug/m3
4000022,5,11/04/2020 00,12/04/2020 00,20,ug/m3
4000022,5,12/04/2020 00,13/04/2020 00,16,ug/m3
4000022,5,13/04/2020 00,14/04/2020 00,16,ug/m3
4000022,5,14/04/2020 00,15/04/2020 00,21,ug/m3
4000022,5,15/04/2020 00,16/04/2020 00,18,ug/m3
4000022,5,16/04/2020 00,17/04/2020 00,23,ug/m3
4000022,5,17/04/2020 00,18/04/2020 00,27,ug/m3
4000022,5,18/04/2020 00,19/04/2020 00,23,ug/m3
4000022,5,19/04/2020 00,20/04/2020 00,31,ug/m3
4000022,5,20/04/2020 00,21/04/2020 00,20,ug/m3
4000022,5,21/04/2020 00,22/04/2020 00,25,ug/m3
4000022,5,22/04/2020 00,23/04/2020 00,22,ug/m3
4000022,5,23/04/2020 00,24/04/2020 00,21,ug/m3
4000022,5,24/04/2020 00,25/04/2020 00,16,ug/m3
4000022,5,25/04/2020 00,26/04/2020 00,9,ug/m3
4000022,5,26/04/2020 00,27/04/2020 00,15,ug/m3
4000022,5,27/04/2020 00,28/04/2020 00,13,ug/m3
4000022,5,28/04/2020 00,29/04/2020 00,15,ug/m3
4000022,5,29/04/2020 00,30/04/2020 00,12,ug/m3
4000022,5,30/04/2020 00,01/05/2020 00,10,ug/m3
4000022,5,01/05/2020 00,02/05/2020 00,10,ug/m3
4000022,5,02/05/2020 00,03/05/2020 00,8,ug/m3
4000022,5,03/05/2020 00,04/05/2020 00,12,ug/m3
4000022,5,04/05/2020 00,05/05/2020 00,12,ug/m3
4000022,5,05/05/2020 00,06/05/2020 00,16,ug/m3
4000022,5,06/05/2020 00,07/05/2020 00,21,ug/m3
4000022,5,07/05/2020 00,08/05/2020 00,15,ug/m3
4000022,5,08/05/2020 00,09/05/2020 00,20,ug/m3
4000022,5,09/05/2020 00,10/05/2020 00,15,ug/m3
4000022,5,10/05/2020 00,11/05/2020 00,16,ug/m3
4000022,5,11/05/2020 00,12/05/2020 00,8,ug/m3
4000022,5,12/05/2020 00,13/05/2020 00,13,ug/m3
4000022,5,13/05/2020 00,14/05/2020 00,23,ug/m3
4000022,5,14/05/2020 00,15/05/2020 00,36,ug/m3
4000022,5,15/05/2020 00,16/05/2020 00,19,ug/m3
4000022,5,16/05/2020 00,17/05/2020 00,21,ug/m3
4000022,5,17/05/2020 00,18/05/2020 00,23,ug/m3
4000022,5,18/05/2020 00,19/05/2020 00,28,ug/m3
4000022,5,19/05/2020 00,20/05/2020 00,32,ug/m3
4000022,5,20/05/2020 00,21/05/2020 00,16,ug/m3
4000022,5,21/05/2020 00,22/05/2020 00,17,ug/m3
4000022,5,22/05/2020 00,23/05/2020 00,22,ug/m3
4000022,5,23/05/2020 00,24/05/2020 00,20,ug/m3
4000022,5,24/05/2020 00,25/05/2020 00,15,ug/m3
4000022,5,25/05/2020 00,26/05/2020 00,13,ug/m3
4000022,5,26/05/2020 00,27/05/2020 00,14,ug/m3
4000022,5,27/05/2020 00,28/05/2020 00,11,ug/m3
4000022,5,28/05/2020 00,29/05/2020 00,17,ug/m3
4000022,5,29/05/2020 00,30/05/2020 00,7,ug/m3
4000022,5,30/05/2020 00,31/05/2020 00,10,ug/m3
4000022,5,31/05/2020 00,01/06/2020 00,11,ug/m3
4000022,5,01/06/2020 00,02/06/2020 00,11,ug/m3
4000022,5,02/06/2020 00,03/06/2020 00,12,ug/m3
4000022,5,03/06/2020 00,04/06/2020 00,7,ug/m3
4000022,5,04/06/2020 00,05/06/2020 00,13,ug/m3
4000022,5,05/06/2020 00,06/06/2020 00,12,ug/m3
4000022,5,06/06/2020 00,07/06/2020 00,14,ug/m3
4000022,5,07/06/2020 00,08/06/2020 00,13,ug/m3
4000022,5,08/06/2020 00,09/06/2020 00,21,ug/m3
4000022,5,09/06/2020 00,10/06/2020 00,17,ug/m3
4000022,5,10/06/2020 00,11/06/2020 00,12,ug/m3
4000022,5,11/06/2020 00,12/06/2020 00,19,ug/m3
4000022,5,12/06/2020 00,13/06/2020 00,15,ug/m3
4000022,5,13/06/2020 00,14/06/2020 00,12,ug/m3
4000022,5,14/06/2020 00,15/06/2020 00,10,ug/m3
